produitID;produitNom;uniteID;uniteNom;tailleID;tailleNom;poids
1;Riz local brisé;100;Kg;0;taille unique;1000
1;Riz local brisé;108;Boite de tomate/Pot;1;Petit;521,5
1;Riz local brisé;108;Boite de tomate/Pot;2;Moyen;935
1;Riz local brisé;108;Boite de tomate/Pot;3;Grand;1997,5
1;Riz local brisé;108;Boite de tomate/Pot;7;Tres petit;222
1;Riz local brisé;136;Sac (25 Kg);0;taille unique;25000
1;Riz local brisé;138;Sac (50 Kg);0;taille unique;50000
1;Riz local brisé;139;Sachets;2;Moyen;926
2;Riz local entier;100;Kg;0;taille unique;1000
2;Riz local entier;108;Boite de tomate/Pot;1;Petit;471
2;Riz local entier;108;Boite de tomate/Pot;2;Moyen;912
2;Riz local entier;108;Boite de tomate/Pot;3;Grand;1940
2;Riz local entier;108;Boite de tomate/Pot;7;Tres petit;217,5
2;Riz local entier;136;Sac (25 Kg);0;taille unique;25000
2;Riz local entier;138;Sac (50 Kg);0;taille unique;50000
2;Riz local brisé;139;Sachets;2;Moyen;926
3;Riz importé brisé;100;Kg;0;taille unique;1000
3;Riz importé brisé;108;Boite de tomate/Pot;1;Petit;455
3;Riz importé brisé;108;Boite de tomate/Pot;2;Moyen;934,5
3;Riz importé brisé;108;Boite de tomate/Pot;3;Grand;1897
3;Riz importé brisé;108;Boite de tomate/Pot;7;Tres petit;224
3;Riz importé brisé;136;Sac (25 Kg);0;taille unique;25000
3;Riz importé brisé;138;Sac (50 Kg);0;taille unique;50000
4;Riz importé entier;100;Kg;0;taille unique;1000
4;Riz importé entier;108;Boite de tomate/Pot;1;Petit;229
4;Riz importé entier;108;Boite de tomate/Pot;2;Moyen;887
4;Riz importé entier;108;Boite de tomate/Pot;3;Grand;1390
4;Riz importé entier;136;Sac (25 Kg);0;taille unique;25000
4;Riz importé entier;138;Sac (50 Kg);0;taille unique;50000
5;Maïs en épi;143;tas;2;Moyen;1590
5;Maïs en épi;147;unité (gousse, carcasse etc.);1;Petit;218,5
5;Maïs en épi;147;unité (gousse, carcasse etc.);2;Moyen;389
5;Maïs en épi;147;unité (gousse, carcasse etc.);3;Grand;552
6;Maïs en grain;100;Kg;0;taille unique;1000
6;Maïs en grain;108;Boite de tomate/Pot;1;Petit;439
6;Maïs en grain;108;Boite de tomate/Pot;2;Moyen;964
6;Maïs en grain;108;Boite de tomate/Pot;3;Grand;1677
6;Maïs en grain;108;Boite de tomate/Pot;7;Très petit;208
6;Maïs en grain;115;Calebasse;1;Petit;250
6;Maïs en grain;129;paquet;1;Petit;262,5
6;Maïs en grain;129;paquet;2;Moyen;517
6;Maïs en grain;135;Sac (100 Kg);0;taille unique;100000
6;Maïs en grain;138;Sac (50 Kg);0;taille unique;50000
6;Maïs en grain;139;Sachets;1;Petit;121
6;Maïs en grain;139;Sachets;2;Moyen;231
6;Maïs en grain;139;Sachets;3;Grand;472
7;Mil;100;Kg;0;taille unique;1000
7;Mil;108;Boite de tomate/Pot;1;Petit;470
7;Mil;108;Boite de tomate/Pot;2;Moyen;1056
7;Mil;108;Boite de tomate/Pot;3;Grand;1749
7;Mil;108;Boite de tomate/Pot;7;Tres petit;216
7;Mil;135;Sac (100 Kg);0;taille unique;100000
7;Mil;136;Sac (25 Kg);0;taille unique;25000
7;Mil;138;Sac (50 Kg);0;taille unique;50000
7;Mil;139;Sachets;1;Petit;659
7;Mil;139;Sachets;2;Moyen;999
7;Mil;139;Sachets;3;Grand;1002.5
